"TimePeriod","Tenant","ProratedQuantity"
"2023-09-14T00:00:00Z","MS-CBN09PrdStf02C","93218.52616470505"
"2023-09-15T00:00:00Z","MS-CBN09PrdStf02C","104783.77144463314"
"2023-09-16T00:00:00Z","MS-CBN09PrdStf02C","97060.344312964633"
"2023-09-17T00:00:00Z","MS-CBN09PrdStf02C","96852.455640239641"
"2023-09-18T00:00:00Z","MS-CBN09PrdStf02C","110037.8111584857"
"2023-09-19T00:00:00Z","MS-CBN09PrdStf02C","121516.67756297346"
"2023-09-20T00:00:00Z","MS-CBN09PrdStf02C","121928.82597764132"
"2023-09-21T00:00:00Z","MS-CBN09PrdStf02C","123774.09216327762"
"2023-09-22T00:00:00Z","MS-CBN09PrdStf02C","125665.76924947747"
"2023-09-23T00:00:00Z","MS-CBN09PrdStf02C","142174.72921346864"
"2023-09-24T00:00:00Z","MS-CBN09PrdStf02C","125586.7113238912"
"2023-09-25T00:00:00Z","MS-CBN09PrdStf02C","124615.56533673311"
"2023-09-26T00:00:00Z","MS-CBN09PrdStf02C","134295.68787063085"
"2023-09-27T00:00:00Z","MS-CBN09PrdStf02C","169782.58564134981"
"2023-09-28T00:00:00Z","MS-CBN09PrdStf02C","112884.26018703612"
"2023-09-29T00:00:00Z","MS-CBN09PrdStf02C","101986.65941310255"
"2023-09-30T00:00:00Z","MS-CBN09PrdStf02C","106362.23724421514"
"2023-10-01T00:00:00Z","MS-CBN09PrdStf02C","108810.26552457851"
"2023-10-02T00:00:00Z","MS-CBN09PrdStf02C","107707.7974131377"
"2023-10-03T00:00:00Z","MS-CBN09PrdStf02C","113049.33815875709"
"2023-10-04T00:00:00Z","MS-CBN09PrdStf02C","128282.76409210976"
"2023-10-05T00:00:00Z","MS-CBN09PrdStf02C","114239.23999855206"
"2023-10-06T00:00:00Z","MS-CBN09PrdStf02C","119993.7470966182"
"2023-10-07T00:00:00Z","MS-CBN09PrdStf02C","144100.38106987427"
"2023-10-08T00:00:00Z","MS-CBN09PrdStf02C","142854.27336508909"
"2023-10-09T00:00:00Z","MS-CBN09PrdStf02C","152724.66962016816"
"2023-10-10T00:00:00Z","MS-CBN09PrdStf02C","147048.82976673165"
"2023-10-11T00:00:00Z","MS-CBN09PrdStf02C","142356.13115749208"
"2023-10-12T00:00:00Z","MS-CBN09PrdStf02C","114052.19064149624"
"2023-10-13T00:00:00Z","MS-CBN09PrdStf02C","203704.26756379471"
"2023-10-14T00:00:00Z","MS-CBN09PrdStf02C","125850.35661235644"
"2023-10-15T00:00:00Z","MS-CBN09PrdStf02C","112275.38224870102"
"2023-10-16T00:00:00Z","MS-CBN09PrdStf02C","114731.56815699555"
"2023-10-17T00:00:00Z","MS-CBN09PrdStf02C","117480.52566549687"
"2023-10-18T00:00:00Z","MS-CBN09PrdStf02C","119660.82118171478"
"2023-10-19T00:00:00Z","MS-CBN09PrdStf02C","117978.52186172926"
"2023-10-20T00:00:00Z","MS-CBN09PrdStf02C","113801.48715420933"
"2023-10-21T00:00:00Z","MS-CBN09PrdStf02C","110114.97871410596"
"2023-10-22T00:00:00Z","MS-CBN09PrdStf02C","110922.80203803936"
"2023-10-23T00:00:00Z","MS-CBN09PrdStf02C","106661.50970344826"
"2023-10-24T00:00:00Z","MS-CBN09PrdStf02C","101557.39729782092"
"2023-10-25T00:00:00Z","MS-CBN09PrdStf02C","94871.58963836357"
"2023-10-26T00:00:00Z","MS-CBN09PrdStf02C","97372.468759659343"
"2023-10-27T00:00:00Z","MS-CBN09PrdStf02C","102000.73400710197"
"2023-10-28T00:00:00Z","MS-CBN09PrdStf02C","91985.989229676212"
"2023-10-29T00:00:00Z","MS-CBN09PrdStf02C","91962.764570222585"
"2023-10-30T00:00:00Z","MS-CBN09PrdStf02C","92645.577937202368"
"2023-10-31T00:00:00Z","MS-CBN09PrdStf02C","92722.0265863872"
"2023-11-01T00:00:00Z","MS-CBN09PrdStf02C","92278.278325003019"
"2023-11-02T00:00:00Z","MS-CBN09PrdStf02C","90625.125066491557"
"2023-11-03T00:00:00Z","MS-CBN09PrdStf02C","82734.968093390737"
"2023-11-04T00:00:00Z","MS-CBN09PrdStf02C","89011.281725621"
"2023-11-05T00:00:00Z","MS-CBN09PrdStf02C","92127.771110553411"
"2023-11-06T00:00:00Z","MS-CBN09PrdStf02C","90029.339527154778"
"2023-11-07T00:00:00Z","MS-CBN09PrdStf02C","88997.316970458152"
"2023-11-08T00:00:00Z","MS-CBN09PrdStf02C","89528.715654067433"
"2023-11-09T00:00:00Z","MS-CBN09PrdStf02C","90826.042905599475"
"2023-11-10T00:00:00Z","MS-CBN09PrdStf02C","90707.340425848612"
"2023-11-11T00:00:00Z","MS-CBN09PrdStf02C","88776.474018680587"
"2023-11-12T00:00:00Z","MS-CBN09PrdStf02C","89373.611637335416"
"2023-11-13T00:00:00Z","MS-CBN09PrdStf02C","90872.158009917"
"2023-11-14T00:00:00Z","MS-CBN09PrdStf02C","99124.6833769806"
"2023-11-15T00:00:00Z","MS-CBN09PrdStf02C","90596.451093707219"
