TimePeriod,ProratedQuantity
2023-09-08,1167561.6937988354
2023-09-09,1220099.6129411934
2023-09-10,1184405.5979429556
2023-09-11,1322508.5420061946
2023-09-12,1330775.7675976097
2023-09-13,1362999.4150396248
2023-09-14,1337453.1735950655
2023-09-15,1366612.1984978705
2023-09-16,1217967.5407469638
2023-09-17,1179033.4459582914
2023-09-18,1309476.9602406826
2023-09-19,1382656.5397402088
2023-09-20,1427367.5867685415
2023-09-21,1428300.058877382
2023-09-22,1411462.1246549415
2023-09-23,1280809.938133641
2023-09-24,1260692.7144937627
2023-09-25,1396275.9341011487
2023-09-26,1429005.341277999
2023-09-27,1432310.6408443034
2023-09-28,1481432.550281881
2023-09-29,1508740.0766675142
2023-09-30,1411778.509731257
2023-10-01,1402618.1240289288
2023-10-02,1532339.6408818774
2023-10-03,1645016.7095066472
2023-10-04,1630547.7052765936
2023-10-05,1623078.402346203
2023-10-06,1671491.1615805428
2023-10-07,1601822.6096067962
2023-10-08,1568950.8037787764
2023-10-09,1664134.1261615066
2023-10-10,1690557.865950307
2023-10-11,1715069.0042237905
2023-10-12,1724615.6849575965
2023-10-13,1689772.2007602633
2023-10-14,1552576.6496801153
2023-10-15,1532014.605950452
2023-10-16,1622456.3353057224
2023-10-17,1609946.4115637466
2023-10-18,1505032.7711177145
2023-10-19,1534500.0150226697
2023-10-20,1525754.3730589831
2023-10-21,1388014.898371556
2023-10-22,1362893.9432791146
2023-10-23,1501716.371379826
2023-10-24,1523344.8374707983
2023-10-25,1554915.658341494
2023-10-26,1518187.6368733947
2023-10-27,1505731.9466204946
2023-10-28,1360752.6875013963
2023-10-29,1357858.3029207485
2023-10-30,1497040.1979703698
2023-10-31,1549392.7284874904
2023-11-01,1545177.0591297469
2023-11-02,1534915.816294118
2023-11-03,1428316.8938093176
2023-11-04,1447230.3132884956
2023-11-05,1385507.7982445029
2023-11-06,1521802.852196937
2023-11-07,1574179.2138740646
2023-11-08,1560889.2499635154
2023-11-09,1608266.142483908
2023-11-10,1587315.0975762394
2023-11-11,1462178.6867385355
2023-11-12,1408362.5027079342
2023-11-13,1564538.0082503348
2023-11-14,1660065.5675017484
2023-11-15,1720106.9460629125
2023-11-16,1681993.8999111326
2023-11-17,1695914.51714141
2023-11-18,1600489.624344916
2023-11-19,1554022.124936708
2023-11-20,1683044.094269818
2023-11-21,1772549.7690372115
2023-11-22,1762012.376848368
2023-11-23,1717746.823249517
2023-11-24,1691538.5963809683
2023-11-25,1606197.1599305368
2023-11-26,1543337.2902278176
2023-11-27,1696753.4354117594
2023-11-28,1777730.5549226026
2023-11-29,1770843.081796611
2023-11-30,1775914.2609442114
2023-12-01,1787050.37517781
2023-12-02,1664066.4855770431
2023-12-03,1624236.4288063906
2023-12-04,1790146.3284574416
2023-12-05,1968897.2684292973
2023-12-06,1881216.7066020963
2023-12-07,1865872.2635690393
2023-12-08,1819320.500406718
2023-12-09,1679925.6734828553
2023-12-10,1652308.9335550335
2023-12-11,1819559.0415633183
2023-12-12,1962518.5097292608
2023-12-13,1959124.1786265045
2023-12-14,1776797.3653305066
2023-12-15,1707337.2526525236
2023-12-16,1596285.1271572767
2023-12-17,1420114.189842179
2023-12-18,1576450.1654607388
2023-12-19,1624839.1575897916
2023-12-20,1620788.472697127
2023-12-21,1626458.1040374213
2023-12-22,1667833.709682691
2023-12-23,1568933.6810788978
2023-12-24,1520860.6739975794
2023-12-25,1531037.3437400248
2023-12-26,1606218.296631162
2023-12-27,1639298.086119468
2023-12-28,1593020.628879445
2023-12-29,1514466.2692144525
2023-12-30,1426504.6898058257
2023-12-31,1382083.192676226
2024-01-01,1395192.008658835
2024-01-02,1531764.760311213
2024-01-03,1640612.7852981072
2024-01-04,1757586.524053606
2024-01-05,1840104.9224392253
2024-01-06,1674455.895365942
2024-01-07,1465617.7622791007
2024-01-08,1615446.539423111
2024-01-09,1693013.8020228716
2024-01-10,1751032.593334666
2024-01-11,1766242.8416373096
2024-01-12,1721657.9702799425
2024-01-13,1624593.9726712855
2024-01-14,1529710.0294671536
2024-01-15,1652171.886742297
2024-01-16,1760635.2433682233
2024-01-17,1827702.1485157977
2024-01-18,1844789.4851394256
2024-01-19,1954770.1442516707
2024-01-20,1974677.71703828
2024-01-21,1893597.1584611817
2024-01-22,2095479.2048150029
2024-01-23,2204372.159581387
2024-01-24,2138212.976640855
2024-01-25,2078852.3327443076
2024-01-26,2057245.6159188624
2024-01-27,1954370.455033808
2024-01-28,1806001.5470209809
2024-01-29,2020148.675870307
2024-01-30,2100699.638426797
2024-01-31,2077034.9023310533
2024-02-01,2096792.0548167648
2024-02-02,2081499.4119976456
2024-02-03,1879374.4095832107
2024-02-04,1806154.402709898
2024-02-05,1973301.2862628973
2024-02-06,2091602.9436527705
2024-02-07,2092719.3402929944
2024-02-08,2096434.7487233183
2024-02-09,2156872.902418
2024-02-10,1959499.410434428
2024-02-11,1870216.2803177969
2024-02-12,2086417.6810893705
2024-02-13,2241959.429172615
2024-02-14,2258391.1458201823
2024-02-15,2392632.1641028286
2024-02-16,2312757.347922428
2024-02-17,2180016.282641575
2024-02-18,2067137.830003262
2024-02-19,2250738.114259315
2024-02-20,2375671.601438335
2024-02-21,2425981.320710652
2024-02-22,2482707.7113861097
2024-02-23,2388672.179210072
2024-02-24,2170438.731853856
2024-02-25,2089503.6626177365
2024-02-26,2318605.576011848
2024-02-27,2468011.545977141
2024-02-28,2489249.169783405
2024-02-29,2443264.7678352944
2024-03-01,2408875.394782511
2024-03-02,2285215.8928652904
2024-03-03,2135160.8467451404
