TimePeriod,ProratedQuantity
2023-09-14,93218.52616470504
2023-09-15,104783.77144463314
2023-09-16,97060.34431296463
2023-09-17,96852.45564023964
2023-09-18,110037.8111584857
2023-09-19,121516.67756297346
2023-09-20,121928.82597764132
2023-09-21,123774.09216327762
2023-09-22,125665.76924947748
2023-09-23,142174.72921346864
2023-09-24,125586.7113238912
2023-09-25,124615.56533673313
2023-09-26,134295.68787063085
2023-09-27,169782.5856413498
2023-09-28,112884.26018703612
2023-09-29,101986.65941310256
2023-09-30,106362.23724421514
2023-10-01,108810.26552457851
2023-10-02,107707.7974131377
2023-10-03,113049.33815875708
2023-10-04,128282.76409210976
2023-10-05,114239.23999855206
2023-10-06,119993.7470966182
2023-10-07,144100.38106987427
2023-10-08,142854.2733650891
2023-10-09,152724.66962016816
2023-10-10,147048.82976673165
2023-10-11,142356.13115749208
2023-10-12,114052.19064149624
2023-10-13,203704.2675637947
2023-10-14,125850.35661235644
2023-10-15,112275.38224870102
2023-10-16,114731.56815699556
2023-10-17,117480.52566549688
2023-10-18,119660.82118171478
2023-10-19,117978.52186172926
2023-10-20,113801.48715420932
2023-10-21,110114.97871410596
2023-10-22,110922.80203803936
2023-10-23,106661.50970344826
2023-10-24,101557.39729782092
2023-10-25,94871.58963836356
2023-10-26,97372.46875965934
2023-10-27,102000.73400710196
2023-10-28,91985.9892296762
2023-10-29,91962.76457022257
2023-10-30,92645.57793720237
2023-10-31,92722.0265863872
2023-11-01,92278.27832500302
2023-11-02,90625.12506649156
2023-11-03,82734.96809339074
2023-11-04,89011.281725621
2023-11-05,92127.77111055341
2023-11-06,90029.33952715478
2023-11-07,88997.31697045814
2023-11-08,89528.71565406742
2023-11-09,90826.04290559949
2023-11-10,90707.34042584861
2023-11-11,88776.47401868057
2023-11-12,89373.6116373354
2023-11-13,90872.158009917
2023-11-14,99124.6833769806
2023-11-15,90596.45109370722
2023-11-16,87744.6396670485
2023-11-17,92870.50795083068
2023-11-18,96870.80068331197
2023-11-19,97953.28261340145
2023-11-20,93384.79027764016
2023-11-21,93681.34399066766
2023-11-22,98123.64792438602
2023-11-23,93586.89752079619
2023-11-24,90790.31462156861
2023-11-25,93483.38846410236
2023-11-26,93227.51179310185
2023-11-27,94143.49397241478
2023-11-28,95393.73141361405
2023-11-29,101379.05907252796
2023-11-30,102076.13206615538
2023-12-01,91406.3877735917
2023-12-02,91659.12450241322
2023-12-03,90596.68737405699
2023-12-04,89933.16728926255
2023-12-05,87872.47241568021
2023-12-06,85754.67392420565
2023-12-07,80155.02600719033
2023-12-08,94272.19541464445
2023-12-09,79216.48911907102
2023-12-10,75701.2789958279
2023-12-11,73123.17867149254
2023-12-12,72199.157046346
2023-12-13,77275.78473214201
2023-12-14,68996.20779667272
2023-12-15,69393.7552244621
2023-12-16,69993.01752383956
2023-12-17,71593.10938802619
2023-12-18,71737.35866823715
2023-12-19,70124.66148327201
2023-12-20,68023.62780384647
2023-12-21,67137.79600970936
2023-12-22,65106.09740330432
2023-12-23,66629.31527957963
2023-12-24,68487.3345312986
2023-12-25,67798.75837432651
2023-12-26,67524.4080260395
2023-12-27,67477.83069508201
2023-12-28,67150.45159043043
2023-12-29,67793.97249929876
2023-12-30,69236.01061826815
2023-12-31,69418.64410248671
2024-01-01,69477.5913368328
2024-01-02,70627.61314094617
2024-01-03,71426.14344345554
2024-01-04,70599.64255756172
2024-01-05,69774.99860984011
2024-01-06,69962.06266381152
2024-01-07,69968.36474917272
2024-01-08,68025.81940278158
2024-01-09,66954.69234153132
2024-01-10,67135.90210540965
2024-01-11,68982.23798733755
2024-01-12,70057.25221730726
2024-01-13,68451.53726134873
2024-01-14,66701.83504412453
2024-01-15,66597.15014942868
2024-01-16,67363.6325486182
2024-01-17,69660.5678753272
2024-01-18,70917.33940894311
2024-01-19,70306.41293529225
2024-01-20,70711.5741297007
2024-01-21,70825.76502317336
2024-01-22,71032.4064220531
2024-01-23,70751.86319951215
2024-01-24,72295.26160947098
2024-01-25,73445.43410679222
2024-01-26,77007.74420352203
2024-01-27,74146.80145319177
2024-01-28,70602.38251024949
2024-01-29,72745.31125284609
2024-01-30,73925.780047364
2024-01-31,74044.46783362512
2024-02-01,77203.22178534398
2024-02-02,77009.83455715238
2024-02-03,76998.04721112891
2024-02-04,77102.2639581305
2024-02-05,76106.35405980446
2024-02-06,79185.35968325127
2024-02-07,79984.48782482443
2024-02-08,78019.66000809133
2024-02-09,78102.5156957626
2024-02-10,80330.17959613932
2024-02-11,76542.76806924077
2024-02-12,76298.77270912622
2024-02-13,72523.60667040318
2024-02-14,75594.29384942325
2024-02-15,72417.93565394919
2024-02-16,70756.98293380768
2024-02-17,70617.51015108121
2024-02-18,73545.11127923356
2024-02-19,74112.85561237887
2024-02-20,71306.97504048623
2024-02-21,71195.34233179441
2024-02-22,71294.79180091267
2024-02-23,71412.98743534807
2024-02-24,71483.52154256066
2024-02-25,71586.87975452396
2024-02-26,71747.40623451537
2024-02-27,71612.46151645316
2024-02-28,71271.35022461858
2024-02-29,71259.79434996404
2024-03-01,67462.22428534325
2024-03-02,66988.91707247288
2024-03-03,66781.82414318471
2024-03-04,64843.97136595472
2024-03-05,55717.26202070273
2024-03-06,55654.21733494601
2024-03-07,52970.15151421887
2024-03-08,54081.12724863903
2024-03-09,55780.87192318816
2024-03-10,54128.57388658104
