TimePeriod,ProratedQuantity
2023-12-29,3965141.135282047
2023-12-30,3876471.931869883
2023-12-31,3872580.945232473
2024-01-01,3896289.3767771902
2024-01-02,4037271.402714545
2024-01-03,4088559.7802835647
2024-01-04,4149683.519136353
2024-01-05,4227086.651873733
2024-01-06,4137910.066665526
2024-01-07,4059135.333937956
2024-01-08,4196560.077226447
2024-01-09,4230560.0328055965
2024-01-10,4217553.9088711
2024-01-11,4221330.743156998
2024-01-12,4157550.2055836767
2024-01-13,3907896.732394824
2024-01-14,3811145.4720990215
2024-01-15,3915386.550346584
2024-01-16,4096423.5024174647
2024-01-17,4218732.0241391
2024-01-18,4154291.882117283
2024-01-19,4083901.3175573335
2024-01-20,3936136.418675831
2024-01-21,3903051.772246589
2024-01-22,4094815.732172727
2024-01-23,4232702.479928212
2024-01-24,4225652.684630271
2024-01-25,4214609.922835421
2024-01-26,4084095.627223188
2024-01-27,3976933.3956911266
2024-01-28,3931357.6052638367
2024-01-29,4186234.268900997
2024-01-30,4394684.509173074
2024-01-31,4300417.403025708
2024-02-01,4373842.684266507
2024-02-02,4299424.816912783
2024-02-03,4101149.9734245385
2024-02-04,4051949.322859856
2024-02-05,4319439.889417619
2024-02-06,4532972.898265479
2024-02-07,4456689.260640334
2024-02-08,4406047.072904372
2024-02-09,4325332.196362663
2024-02-10,4200547.953676616
2024-02-11,4108916.1970344456
2024-02-12,4269466.687130195
2024-02-13,4287304.138560528
2024-02-14,4301221.253590041
2024-02-15,4362000.037417849
2024-02-16,4312942.173910081
2024-02-17,4189623.5240575345
2024-02-18,4139470.375735181
2024-02-19,4240796.016277729
2024-02-20,4402565.329349417
2024-02-21,4389210.19560344
2024-02-22,4382542.141416664
2024-02-23,4345757.585244287
2024-02-24,4147298.145764492
2024-02-25,4130548.168741197
2024-02-26,4395990.711504997
2024-02-27,4334525.998503061
2024-02-28,4408091.6436165515
2024-02-29,4450295.841339964
2024-03-01,4384629.8828701405
2024-03-02,4090900.28460317
2024-03-03,3997086.5493201
2024-03-04,4317053.076126783
2024-03-05,4371648.856189163
2024-03-06,4315493.714305873
2024-03-07,4359608.982545279
2024-03-08,4362000.475371196
2024-03-09,4069070.366970107
2024-03-10,4010297.038723252
2024-03-11,4315297.339612792
2024-03-12,4281912.560195294
2024-03-13,4282435.343534744
2024-03-14,4352459.40192729
2024-03-15,4267827.077287781
2024-03-16,4102937.918553264
2024-03-17,4080171.4185637026
2024-03-18,4321569.67312813
2024-03-19,4398835.446270346
2024-03-20,4367125.844270091
2024-03-21,4387702.99786818
2024-03-22,4302511.003520626
2024-03-23,4260474.410693722
2024-03-24,4097331.683687865
2024-03-25,4235668.218307333
2024-03-26,4472785.639607546
