"TimePeriod","Tenant","ProratedQuantity"
"2023-09-08T00:00:00Z","MS-DSM06PrdStp04A","1167561.6937988354"
"2023-09-09T00:00:00Z","MS-DSM06PrdStp04A","1220099.6129411934"
"2023-09-10T00:00:00Z","MS-DSM06PrdStp04A","1184405.5979429556"
"2023-09-11T00:00:00Z","MS-DSM06PrdStp04A","1322508.5420061946"
"2023-09-12T00:00:00Z","MS-DSM06PrdStp04A","1330775.7675976097"
"2023-09-13T00:00:00Z","MS-DSM06PrdStp04A","1362999.4150396248"
"2023-09-14T00:00:00Z","MS-DSM06PrdStp04A","1337453.1735950655"
"2023-09-15T00:00:00Z","MS-DSM06PrdStp04A","1366612.1984978705"
"2023-09-16T00:00:00Z","MS-DSM06PrdStp04A","1217967.5407469638"
"2023-09-17T00:00:00Z","MS-DSM06PrdStp04A","1179033.4459582914"
"2023-09-18T00:00:00Z","MS-DSM06PrdStp04A","1309476.9602406826"
"2023-09-19T00:00:00Z","MS-DSM06PrdStp04A","1382656.5397402088"
"2023-09-20T00:00:00Z","MS-DSM06PrdStp04A","1427367.5867685415"
"2023-09-21T00:00:00Z","MS-DSM06PrdStp04A","1428300.058877382"
"2023-09-22T00:00:00Z","MS-DSM06PrdStp04A","1411462.1246549417"
"2023-09-23T00:00:00Z","MS-DSM06PrdStp04A","1280809.9381336407"
"2023-09-24T00:00:00Z","MS-DSM06PrdStp04A","1260692.7144937629"
"2023-09-25T00:00:00Z","MS-DSM06PrdStp04A","1396275.9341011487"
"2023-09-26T00:00:00Z","MS-DSM06PrdStp04A","1429005.3412779993"
"2023-09-27T00:00:00Z","MS-DSM06PrdStp04A","1432310.6408443034"
"2023-09-28T00:00:00Z","MS-DSM06PrdStp04A","1481432.5502818807"
"2023-09-29T00:00:00Z","MS-DSM06PrdStp04A","1508740.0766675142"
"2023-09-30T00:00:00Z","MS-DSM06PrdStp04A","1411778.5097312571"
"2023-10-01T00:00:00Z","MS-DSM06PrdStp04A","1402618.1240289288"
"2023-10-02T00:00:00Z","MS-DSM06PrdStp04A","1532339.6408818774"
"2023-10-03T00:00:00Z","MS-DSM06PrdStp04A","1645016.7095066472"
"2023-10-04T00:00:00Z","MS-DSM06PrdStp04A","1630547.7052765936"
"2023-10-05T00:00:00Z","MS-DSM06PrdStp04A","1623078.4023462031"
"2023-10-06T00:00:00Z","MS-DSM06PrdStp04A","1671491.1615805428"
"2023-10-07T00:00:00Z","MS-DSM06PrdStp04A","1601822.6096067962"
"2023-10-08T00:00:00Z","MS-DSM06PrdStp04A","1568950.8037787764"
"2023-10-09T00:00:00Z","MS-DSM06PrdStp04A","1664134.1261615066"
"2023-10-10T00:00:00Z","MS-DSM06PrdStp04A","1690557.8659503073"
"2023-10-11T00:00:00Z","MS-DSM06PrdStp04A","1715069.0042237905"
"2023-10-12T00:00:00Z","MS-DSM06PrdStp04A","1724615.6849575965"
"2023-10-13T00:00:00Z","MS-DSM06PrdStp04A","1689772.2007602633"
"2023-10-14T00:00:00Z","MS-DSM06PrdStp04A","1552576.6496801153"
"2023-10-15T00:00:00Z","MS-DSM06PrdStp04A","1532014.6059504519"
"2023-10-16T00:00:00Z","MS-DSM06PrdStp04A","1622456.3353057224"
"2023-10-17T00:00:00Z","MS-DSM06PrdStp04A","1609946.4115637466"
"2023-10-18T00:00:00Z","MS-DSM06PrdStp04A","1505032.7711177145"
"2023-10-19T00:00:00Z","MS-DSM06PrdStp04A","1534500.0150226695"
"2023-10-20T00:00:00Z","MS-DSM06PrdStp04A","1525754.3730589831"
"2023-10-21T00:00:00Z","MS-DSM06PrdStp04A","1388014.8983715561"
"2023-10-22T00:00:00Z","MS-DSM06PrdStp04A","1362893.9432791146"
"2023-10-23T00:00:00Z","MS-DSM06PrdStp04A","1501716.371379826"
"2023-10-24T00:00:00Z","MS-DSM06PrdStp04A","1523344.8374707985"
"2023-10-25T00:00:00Z","MS-DSM06PrdStp04A","1554915.6583414939"
"2023-10-26T00:00:00Z","MS-DSM06PrdStp04A","1518187.6368733947"
"2023-10-27T00:00:00Z","MS-DSM06PrdStp04A","1505731.9466204946"
"2023-10-28T00:00:00Z","MS-DSM06PrdStp04A","1360752.6875013965"
"2023-10-29T00:00:00Z","MS-DSM06PrdStp04A","1357858.3029207485"
"2023-10-30T00:00:00Z","MS-DSM06PrdStp04A","1497040.1979703698"
"2023-10-31T00:00:00Z","MS-DSM06PrdStp04A","1549392.7284874904"
"2023-11-01T00:00:00Z","MS-DSM06PrdStp04A","1545177.0591297469"
"2023-11-02T00:00:00Z","MS-DSM06PrdStp04A","1534915.8162941181"
"2023-11-03T00:00:00Z","MS-DSM06PrdStp04A","1428316.8938093176"
"2023-11-04T00:00:00Z","MS-DSM06PrdStp04A","1447230.3132884956"
"2023-11-05T00:00:00Z","MS-DSM06PrdStp04A","1385507.7982445029"
"2023-11-06T00:00:00Z","MS-DSM06PrdStp04A","1521802.852196937"
"2023-11-07T00:00:00Z","MS-DSM06PrdStp04A","1574179.2138740646"
"2023-11-08T00:00:00Z","MS-DSM06PrdStp04A","1560889.2499635154"
"2023-11-09T00:00:00Z","MS-DSM06PrdStp04A","1608266.142483908"
"2023-11-10T00:00:00Z","MS-DSM06PrdStp04A","1587315.0975762394"
"2023-11-11T00:00:00Z","MS-DSM06PrdStp04A","1462178.6867385355"
"2023-11-12T00:00:00Z","MS-DSM06PrdStp04A","1408362.5027079342"
"2023-11-13T00:00:00Z","MS-DSM06PrdStp04A","1564538.0082503348"
"2023-11-14T00:00:00Z","MS-DSM06PrdStp04A","1660065.5675017484"
"2023-11-15T00:00:00Z","MS-DSM06PrdStp04A","1720106.9460629125"
"2023-11-16T00:00:00Z","MS-DSM06PrdStp04A","1681993.8999111326"
"2023-11-17T00:00:00Z","MS-DSM06PrdStp04A","1695914.5171414101"
"2023-11-18T00:00:00Z","MS-DSM06PrdStp04A","1600489.6243449159"
"2023-11-19T00:00:00Z","MS-DSM06PrdStp04A","1554022.124936708"
"2023-11-20T00:00:00Z","MS-DSM06PrdStp04A","1683044.0942698179"
"2023-11-21T00:00:00Z","MS-DSM06PrdStp04A","1772549.7690372115"
"2023-11-22T00:00:00Z","MS-DSM06PrdStp04A","1762012.376848368"
"2023-11-23T00:00:00Z","MS-DSM06PrdStp04A","1717746.823249517"
"2023-11-24T00:00:00Z","MS-DSM06PrdStp04A","1691538.5963809683"
"2023-11-25T00:00:00Z","MS-DSM06PrdStp04A","1606197.1599305368"
"2023-11-26T00:00:00Z","MS-DSM06PrdStp04A","1543337.2902278176"
"2023-11-27T00:00:00Z","MS-DSM06PrdStp04A","1696753.4354117594"
"2023-11-28T00:00:00Z","MS-DSM06PrdStp04A","1777730.5549226026"
"2023-11-29T00:00:00Z","MS-DSM06PrdStp04A","1770843.081796611"
"2023-11-30T00:00:00Z","MS-DSM06PrdStp04A","1775914.2609442114"
"2023-12-01T00:00:00Z","MS-DSM06PrdStp04A","1787050.37517781"
"2023-12-02T00:00:00Z","MS-DSM06PrdStp04A","1664066.4855770431"
"2023-12-03T00:00:00Z","MS-DSM06PrdStp04A","1624236.4288063906"
"2023-12-04T00:00:00Z","MS-DSM06PrdStp04A","1790146.3284574416"
"2023-12-05T00:00:00Z","MS-DSM06PrdStp04A","1968897.2684292975"
"2023-12-06T00:00:00Z","MS-DSM06PrdStp04A","1881216.7066020963"
"2023-12-07T00:00:00Z","MS-DSM06PrdStp04A","1865872.2635690391"
"2023-12-08T00:00:00Z","MS-DSM06PrdStp04A","1819320.5004067181"
"2023-12-09T00:00:00Z","MS-DSM06PrdStp04A","1679925.6734828553"
"2023-12-10T00:00:00Z","MS-DSM06PrdStp04A","1652308.9335550335"
"2023-12-11T00:00:00Z","MS-DSM06PrdStp04A","1819559.0415633183"
"2023-12-12T00:00:00Z","MS-DSM06PrdStp04A","1962518.5097292606"
