"TimePeriod","Tenant","ProratedQuantity"
"2023-09-30T00:00:00Z","MS-DSZ04PrdStr03A","3926502.0638244008"
"2023-10-01T00:00:00Z","MS-DSZ04PrdStr03A","3853439.3857597173"
"2023-10-02T00:00:00Z","MS-DSZ04PrdStr03A","4051983.5539392973"
"2023-10-03T00:00:00Z","MS-DSZ04PrdStr03A","4115110.6639458057"
"2023-10-04T00:00:00Z","MS-DSZ04PrdStr03A","4131843.2252573986"
"2023-10-05T00:00:00Z","MS-DSZ04PrdStr03A","4228548.6432438809"
"2023-10-06T00:00:00Z","MS-DSZ04PrdStr03A","4200619.6825259877"
"2023-10-07T00:00:00Z","MS-DSZ04PrdStr03A","3954569.3642494185"
"2023-10-08T00:00:00Z","MS-DSZ04PrdStr03A","3834607.9116645004"
"2023-10-09T00:00:00Z","MS-DSZ04PrdStr03A","4094666.5874276632"
"2023-10-10T00:00:00Z","MS-DSZ04PrdStr03A","4243159.4694204824"
"2023-10-11T00:00:00Z","MS-DSZ04PrdStr03A","4209999.9325079834"
"2023-10-12T00:00:00Z","MS-DSZ04PrdStr03A","4186692.2158903102"
"2023-10-13T00:00:00Z","MS-DSZ04PrdStr03A","4034803.5970533052"
"2023-10-14T00:00:00Z","MS-DSZ04PrdStr03A","3840734.4685958847"
"2023-10-15T00:00:00Z","MS-DSZ04PrdStr03A","3746056.07516853"
"2023-10-16T00:00:00Z","MS-DSZ04PrdStr03A","3964150.5922527113"
"2023-10-17T00:00:00Z","MS-DSZ04PrdStr03A","4078502.5501591982"
"2023-10-18T00:00:00Z","MS-DSZ04PrdStr03A","4095746.7553089168"
"2023-10-19T00:00:00Z","MS-DSZ04PrdStr03A","4250790.8626924008"
"2023-10-20T00:00:00Z","MS-DSZ04PrdStr03A","4186713.9978140034"
"2023-10-21T00:00:00Z","MS-DSZ04PrdStr03A","3979831.5508591989"
"2023-10-22T00:00:00Z","MS-DSZ04PrdStr03A","3906061.4988695346"
"2023-10-23T00:00:00Z","MS-DSZ04PrdStr03A","4126697.7045075037"
"2023-10-24T00:00:00Z","MS-DSZ04PrdStr03A","4152875.3510437864"
"2023-10-25T00:00:00Z","MS-DSZ04PrdStr03A","4133018.7246499518"
"2023-10-26T00:00:00Z","MS-DSZ04PrdStr03A","4183106.8672613534"
"2023-10-27T00:00:00Z","MS-DSZ04PrdStr03A","4195623.6433238108"
"2023-10-28T00:00:00Z","MS-DSZ04PrdStr03A","4113398.0673016"
"2023-10-29T00:00:00Z","MS-DSZ04PrdStr03A","4051231.8134566774"
"2023-10-30T00:00:00Z","MS-DSZ04PrdStr03A","4261250.6054593585"
"2023-10-31T00:00:00Z","MS-DSZ04PrdStr03A","4424455.6192146977"
"2023-11-01T00:00:00Z","MS-DSZ04PrdStr03A","4496350.6607613852"
"2023-11-02T00:00:00Z","MS-DSZ04PrdStr03A","4426630.0991340959"
"2023-11-03T00:00:00Z","MS-DSZ04PrdStr03A","4029664.2747183125"
"2023-11-04T00:00:00Z","MS-DSZ04PrdStr03A","4121935.896553176"
"2023-11-05T00:00:00Z","MS-DSZ04PrdStr03A","4007729.1608123216"
"2023-11-06T00:00:00Z","MS-DSZ04PrdStr03A","4366069.3311316716"
"2023-11-07T00:00:00Z","MS-DSZ04PrdStr03A","4476004.4927102253"
"2023-11-08T00:00:00Z","MS-DSZ04PrdStr03A","4172874.6633410989"
"2023-11-09T00:00:00Z","MS-DSZ04PrdStr03A","4163470.7058864529"
"2023-11-10T00:00:00Z","MS-DSZ04PrdStr03A","4142783.28123966"
"2023-11-11T00:00:00Z","MS-DSZ04PrdStr03A","3870541.0786716538"
"2023-11-12T00:00:00Z","MS-DSZ04PrdStr03A","3782083.6468100469"
"2023-11-13T00:00:00Z","MS-DSZ04PrdStr03A","4010000.7186430735"
"2023-11-14T00:00:00Z","MS-DSZ04PrdStr03A","4117181.4103167825"
"2023-11-15T00:00:00Z","MS-DSZ04PrdStr03A","4144947.1763378158"
"2023-11-16T00:00:00Z","MS-DSZ04PrdStr03A","4399059.4457496786"
"2023-11-17T00:00:00Z","MS-DSZ04PrdStr03A","4591769.6070754146"
"2023-11-18T00:00:00Z","MS-DSZ04PrdStr03A","4075542.5410855087"
"2023-11-19T00:00:00Z","MS-DSZ04PrdStr03A","3975647.7405751306"
"2023-11-20T00:00:00Z","MS-DSZ04PrdStr03A","4495140.52565906"
